BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
DILLON'S,,955 Boylston,BOSTON,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:36:00 PM,+10004211818,,"(42.3594, -71.0587)"
DIM SUM CHEF  INC.,,1 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:06 PM,+16172542073,157732,"(42.352411, -71.125329)"
DIMELOS CAFE,,116 Washington,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,10/07/2013 08:51:11 AM,+16172881752,156125,"(42.30522, -71.080008)"
DIMITRIOS HOUSE OF PIZZA,,1750 Dorchester,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:47 PM,+16178253086,157311,"(42.290228, -71.062881)"
Dine Boston,,500 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,12/07/2006 01:35:47 PM,+14157307532,341351,"(42.3594, -71.0587)"
DING HO FAST FOOD,,88 Harrison,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:52 PM,+16174263126,156805,"(42.35073, -71.061239)"
DINO'S CAFE,,141 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:35:10 PM,+16172271991,158091,"(42.365059, -71.055378)"
Dip It Sweet,,94 Endicott,Boston,MA,02113,Active,FT,Eating & Drinking w/ Take Out,04/17/2012 11:03:29 AM,+17814261960,53893,"(42.364175, -71.057435)"
Dirty Water Dough Company,,222 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,03/05/2013 01:30:09 PM,+16172620090,101439,"(42.34975, -71.08108)"
Discovery Cafe,,3 Blackfan,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,06/28/2013 12:54:09 PM,+16172271333,15784,"(42.33901, -71.104249)"
Dog House,,300 FANEUIL HALL MARKET,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,03/25/2007 11:26:41 AM,+10000000000,,"(42.3594, -71.0587)"
DOGWOOD CAFE,,3712 Washington,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,12/07/2006 01:34:45 PM,+16174481608,144976,"(42.30018, -71.11314)"
DOLCE VITA,,215 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:35:21 PM,+16177200422,157465,"(42.362753, -71.05525)"
DOLCE VITA (1696 Comm. Ave.),,1696 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,11/10/2011 08:24:15 AM,+10000000000,163787,"(42.341247, -71.146504)"
Domino's Pizza,,110 Staniford,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 10:30:18 AM,+19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,1144 Saratoga,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:01 PM,+16176697072,122464,"(42.3846, -71.00029)"
Domino's Pizza,,1252 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 11:02:22 AM,+19786974396,18073,"(42.344737, -71.095964)"
Domino's Pizza,,1400 Tremont,ROXBURY,MA,02119,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 09:15:06 AM,+19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,4000 Washington,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,04/30/2013 09:58:13 AM,+16173230525,145054,"(42.29232, -71.12155)"
Domino's Pizza,,464 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 11:27:15 AM,+19786974396,,"(42.3594, -71.0587)"
Domino's Pizza,,4640 Washington,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 09:46:06 AM,+19786974396,145317,"(42.275474, -71.139042)"
Domino's Pizza,,7 Craftsman,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,06/20/2007 10:51:41 AM,+19786974396,154051,"(42.353869, -71.13572)"
DOMINO'S PIZZA (277 MAIN ST. CHASN.),,277 Main,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,07/31/2012 09:33:01 AM,+10000000000,88499,"(42.37749, -71.06668)"
Domino's Pizza (695 Truman Pkwy),,695 Truman,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,11/02/2012 09:56:37 AM,+16173646550,154866,"(42.25246, -71.11896)"
Domino's Pizza (Adams Street),,197 Adams,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,04/17/2012 12:57:58 PM,+15085201000,340950,"(42.301927, -71.060226)"
Domino's Pizza (Dufficy Ent.),,1672 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,01/10/2013 08:23:52 AM,+16172822424,16348,"(42.267624, -71.093257)"
Domino's Pizza(163 Old Colony Ave.),,163 Old Colony,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,08/08/2012 09:22:58 AM,+16172682900,105071,"(42.33403, -71.05504)"
